Date,Day,Time_Slot,Environment,Location,Connected_Devices,Download_Mbps_per_Device,Upload_Mbps_per_Device,Aggregate_Download_Mbps,Latency_ms,Signal_Strength_dBm,Dominant_Protocol,Packet_Loss_Percent
01-01-2024,Monday,00:00-02:00,Dining,Canteen/Mess,16,5.73,1.99,92.98,8.9,-52.9,Video Streaming,0.49
01-01-2024,Monday,02:00-04:00,Dining,Canteen/Mess,22,6.04,1.94,135.5,8.9,-52,Social Media,0.49
01-01-2024,Monday,04:00-06:00,Dining,Canteen/Mess,19,5.82,1.37,112.53,12.2,-49.3,Gaming,0.49
01-01-2024,Monday,06:00-08:00,Dining,Canteen/Mess,24,5.14,1.39,126.03,12,-52,Gaming,0.49
01-01-2024,Monday,08:00-10:00,Dining,Canteen/Mess,275,1.19,0.34,435.22,83.6,-54.5,Social Media,0.94
01-01-2024,Monday,10:00-12:00,Dining,Canteen/Mess,20,4.31,1.33,87.71,15.9,-53.1,Cloud Sync,0.85
01-01-2024,Monday,12:00-14:00,Dining,Canteen/Mess,277,1.17,0.31,432.56,90.2,-54.1,Social Media,1.24
01-01-2024,Monday,14:00-16:00,Dining,Canteen/Mess,24,5.19,1.28,127.43,5.1,-51.5,Social Media,1.09
01-01-2024,Monday,16:00-18:00,Dining,Canteen/Mess,26,4.8,1.49,127.77,4,-53,Video Streaming,0.98
01-01-2024,Monday,18:00-20:00,Dining,Canteen/Mess,273,1.21,0.32,436.33,85.1,-55,Gaming,1.33
01-01-2024,Monday,20:00-22:00,Dining,Canteen/Mess,22,4.95,1.58,111.01,15.7,-53.9,Remote Desktop,1.16
01-01-2024,Monday,22:00-00:00,Dining,Canteen/Mess,24,4.99,1.49,122.3,11.3,-53.6,Video Streaming,1.03
02-01-2024,Tuesday,00:00-02:00,Dining,Canteen/Mess,23,5.07,1.02,118.97,15.5,-54.4,Gaming,0.93
02-01-2024,Tuesday,02:00-04:00,Dining,Canteen/Mess,23,4.24,1.45,99.55,10.4,-53.6,HTTP/HTTPS,0.84
